,dis_subtype,dis_type,end_date,insur_dam,iso,location,st_date,total_affected,total_dam,total_deaths
1983-0062,--,Flood,/04/1983,,BGD,"Central, Eastern",/04/1983,60000,,78
1983-0072,Convective storm,Storm,26/04/1983,,BGD,Kulna,26/04/1983,200,,12
1983-0091,--,Flood,/07/1983,,BGD,,/07/1983,4100000,,12
1983-0115,--,Flood,/09/1983,,BGD,,/09/1983,3000000,,114
1983-0133,Tropical cyclone,Storm,15/10/1983,,BGD,Chittagong,15/10/1983,5000,,600
1983-0147,Tropical cyclone,Storm,13/11/1983,,BGD,Chittagong,13/11/1983,,,67
1983-0505,--,Flood,/08/1983,,BGD,,/08/1983,,,41
1984-0041,--,Flood,/05/1984,,BGD,Eastern,/05/1984,30000000,,1200
1985-0012,Riverine flood,Flood,/06/1985,,BGD,"Maulvibazar, Sylhet district",/06/1985,100000,,7
1985-0048,Convective storm,Storm,28/03/1985,,BGD,Pabna district,28/03/1985,20000,,50
1985-0063,Tropical cyclone,Storm,28/05/1985,,BGD,"Urir, Jabbar, Bata, Darbesh, Clark, Sudharam, Hatia, Sand Wip Islands   Patuakhali, Bhola, North Chittagong, Feni, Noakhali districts",24/05/1985,1810000,50000,15000
1985-0123,--,Storm,16/10/1985,,BGD,,16/10/1985,1300,,71
1985-0299,--,Flood,05/07/1985,,BGD,"Rangpur, Kurigram a Nil district",05/07/1985,400000,,27
1986-0050,Convective storm,Storm,04/04/1986,,BGD,"Gopalganj, Piropjur districts (Mymensingh, Brahmanbaria, Netrokona)",04/04/1986,13000,,100
1986-0096,Riverine flood,Flood,02/08/1986,,BGD,Rajshahi district,02/08/1986,100000,,4
1986-0117,Tropical cyclone,Storm,26/09/1986,,BGD,"Kuna, Bagerhat, Sathkhira, Pathuakhali, Barguna",26/09/1986,2700000,,40
1986-0131,Tropical cyclone,Storm,09/11/1986,,BGD,Bengal Bay (South-West),09/11/1986,100,,25
1986-0232,--,Flood,07/08/1986,,BGD,Chapai,07/08/1986,300000,,26
1986-0284,--,Storm,/03/1986,,BGD,"Dacca, Manikganj",/03/1986,10000,,19
1987-0110,Tropical cyclone,Storm,04/06/1987,,BGD,"Hatiya, Swandwip, Patuakhali, Bhola regions",04/06/1987,,,12
1987-0132,Riverine flood,Flood,22/07/1987,,BGD,"Rangpur, Netrokona, Gaibandha, Noagaon, Kurigram, Jamlpur, Cox\'s Bazar, Chittagong, Noahkali districts",22/07/1987,29700000,330000,2055
1987-0319,--,Flood,/08/1987,,BGD,,/08/1987,,727500,225
1988-0079,Ground movement,Earthquake,06/02/1988,,BGD,Syhlet,06/02/1988,100,,2
1988-0220,--,Storm,23/05/1988,,BGD,,23/05/1988,,,28
1988-0242,--,Flood,/09/1988,,BGD,,/06/1988,45000000,2137000,2379
1988-0264,--,Storm,13/06/1988,,BGD,Kushia district,13/06/1988,5200,,5
1988-0294,Riverine flood,Flood,/07/1988,,BGD,"Sunamganj, Netrokona, Satkhira, Bogra, Moulavibazar, Habaganj, Rangpur",/07/1988,,,61
1988-0474,Tropical cyclone,Storm,19/10/1988,,BGD,"Patuakhali, Cox\'s Bazar",19/10/1988,,,31
1988-0518,Tropical cyclone,Storm,29/11/1988,,BGD,"Bagherhat, Barguna, Bhola, Jessore, Khulna, Patuakahli, Pirozpur, Satkhira, Sundarbans",29/11/1988,10568860,,1000
1989-0016,Convective storm,Storm,26/04/1989,,BGD,"Manikganj, Dhaka, Tangail districts",26/04/1989,102000,16200,800
1989-0071,Ground movement,Earthquake,12/06/1989,,BGD,Banaripara area,12/06/1989,100,,1
1989-0119,Riverine flood,Flood,14/08/1989,,BGD,"Sylhet,Bandarban, Cox\'s Bazar, Chittagong district,",14/08/1989,200000,,180
1989-0222,Cold wave,Extreme temperature ,/12/1989,,BGD,North,/12/1989,,,100
1989-0247,Cold wave,Extreme temperature ,/01/1989,,BGD,,/01/1989,,,70
1989-0249,Tropical cyclone,Storm,26/05/1989,,BGD,"Manikganj, Tangail",26/05/1989,2000,,15
1989-9040,Drought,Drought,//1989,,BGD,Northwest,/04/1989,5000000,,
1990-0090,Convective storm,Storm,02/05/1990,,BGD,"Manikganj, Siranjganj, Chandpur districts",02/05/1990,4500,,19
1990-0095,Riverine flood,Flood,30/03/1990,,BGD,"Habiganj district, Noakhali District (North Eastern)",24/03/1990,11600,,166
1990-0096,Convective storm,Storm,22/04/1990,,BGD,South East,22/04/1990,40200,,54
1990-0421,--,Storm,21/12/1990,,BGD,Golfe du Bengale,21/12/1990,,,250
1990-0424,Cold wave,Extreme temperature ,29/12/1990,,BGD,,29/12/1990,,,67
1990-0576,Tropical cyclone,Storm,08/10/1990,,BGD,Chittagong,08/10/1990,13870,,370
1990-0609,Riverine flood,Flood,06/09/1990,,BGD,"Rajshabi division, Sirajganj, Jamalpur, Bogra, Pabna",14/07/1990,2000000,6000,65
1990-0706,Cold wave,Extreme temperature ,01/01/1990,,BGD,,01/01/1990,,,50
1991-0120,Tropical cyclone,Storm,10/05/1991,80000,BGD,"Cox\'s Bazar, Chittagong, Patuakhali, Noakhali, Bhola, Barguna",29/04/1991,15438849,1780000,138866
1991-0170,Riverine flood,Flood,/07/1991,,BGD,Rajskabi division,/07/1991,1590000,,
1991-0224,Riverine flood,Flood,10/09/1991,,BGD,Rangpur,02/09/1991,200000,150000,65
1991-0332,Convective storm,Storm,07/05/1991,,BGD,"Ghorasal, Tungi, Sirajganj",07/05/1991,300,,121
1991-0433,Cold wave,Extreme temperature ,06/01/1992,,BGD,West and North Bangladesh,24/12/1991,,,182
1991-0764,Riverine flood,Flood,26/05/1991,,BGD,Sylhet district,14/05/1991,1200000,,200
1992-0175,--,Storm,01/02/1992,,BGD,,31/01/1992,10200,,7
1992-0190,Riverine flood,Flood,18/04/1992,,BGD,"Kishoreganj, Brahmambaria districts",18/04/1992,200,,15
1992-0192,--,Storm,22/04/1992,,BGD,North,22/04/1992,100,,16
1992-0213,Riverine flood,Flood,26/06/1992,,BGD,"Maheskali, Chittagong, Cox\'s Bazaar districts",22/06/1992,45000,,2
1992-0293,Riverine flood,Flood,11/07/1992,,BGD,North-East,11/07/1992,30000,,
1993-0001,Convective storm,Storm,12/01/1993,,BGD,"Bogra, Noagaon, Sunamganj, Sylhet, Tangail, Jamalpur",12/01/1993,752000,,31
1993-0028,Riverine flood,Flood,22/06/1993,,BGD,"Habiganj, Sylhet, Sunamganj, Zakiganj, Moulavibazar, Feni, Chittagong, Cox\'s Bazar districts",04/06/1993,3207056,,28
1993-0029,Tropical cyclone,Storm,13/05/1993,,BGD,"Begumgang, Thana Unions",13/05/1993,7500,,14
1993-0045,Riverine flood,Flood,31/08/1993,,BGD,"Bogra, Sirajganj, Netrokona, Pabna, Sirajganj, Sylhet, Brahmanbaria, Hobiganj, Cox\'s Bazar, Feni, Comilla, Khagrachari, Bandarban, Rangamati, Maulvibazar, Habiganj and Sunamganj districts (Chittagong Region)",01/07/1993,11469537,,162
1993-0120,--,Storm,19/02/1993,,BGD,North-East,19/02/1993,70500,,8
1993-0135,--,Storm,27/03/1993,,BGD,"Bhola, Barisal districts",27/03/1993,25200,,300
1993-0154,--,Storm,07/05/1993,,BGD,North Dhaka,07/05/1993,3250,,9
1993-0160,--,Storm,17/05/1993,,BGD,Comilla area,17/05/1993,7000,,25
1993-0196,--,Flood,21/08/1993,,BGD,"Chittagong, Dhaka",21/08/1993,1075020,,4
1993-0240,Tropical cyclone,Storm,09/01/1993,,BGD,Sylhet,09/01/1993,2500,,50
1993-0241,--,Storm,09/05/1993,,BGD,"Naogaon, Dhaka",09/05/1993,70,,15
1994-0044,Tropical cyclone,Storm,02/05/1994,,BGD,"St. Martins, Teknaf Upazila, Ukhia Upazila ( Near Cox\'s Bazar), Kutubdia Isl., Moheskhali Isl., Bandarban",02/05/1994,653559,125000,130
1994-0087,Tropical cyclone,Storm,28/03/1994,,BGD,"Mymensingh, Chittagong (North-East and Southern Bangladesh)",28/03/1994,150,2500,40
1994-0092,--,Storm,19/04/1994,,BGD,"Pirojpur, Barguna, Barisal, Patuakhali districts",19/04/1994,5200,,20
1994-0122,--,Storm,18/05/1994,,BGD,North,18/05/1994,100,,15
1994-0131,Riverine flood,Flood,03/06/1994,,BGD,Sylhet district,01/06/1994,25000,,3
1994-0193,--,Flood,19/08/1994,,BGD,"Chapainawabganj, Rajshahi",19/08/1994,370000,,40
1994-0612,Cold wave,Extreme temperature ,/02/1994,,BGD,North and Northwestern districts,/02/1994,,,29
1994-0754,Riverine flood,Flood,19/04/1994,,BGD,Barisal district and Southern Bangladesh,19/04/1994,,,61
1994-0755,Flash flood,Flood,19/05/1994,,BGD,North,19/05/1994,100,,12
1995-0001,Cold wave,Extreme temperature ,/01/1995,,BGD,"Rajshahi, Rangpur, Pabna, Dinajpur",/01/1995,,,120
1995-0051,Convective storm,Storm,12/04/1995,,BGD,"Chittagong, Madaripur, Munshiganj districts",12/04/1995,51500,,50
1995-0067,Convective storm,Storm,12/04/1995,,BGD,Chittagong,12/04/1995,2070,,6
1995-0082,--,Storm,15/05/1995,,BGD,"Cox\'s Bazar, Teknaf, Barguna, Bagerhat, Manpura, Char Nizam, Hatiya, Sadwip, Bhola, Noakhali, Patuakhali, Chittagong",15/05/1995,2070000,800000,525
1995-0100,--,Flood,23/06/1995,,BGD,"Sylhet, Moulvibazar, Sunamganj, Netrokona, Sirajganj, Gaibandha, Jamalpur, Pabna, Kurigram, Rangpur, Madaripur, Feni, Panchagarh, Lalmonirhat, Tangail, Gopalganj, Satkhira, Bogra",16/06/1995,12656006,200000,250
1995-0101,Coastal flood,Flood,15/05/1995,,BGD,"Chittagong, Bhola, Coxbazar, Bagerhat, Hatiya, Noakhali, Patuakhali",15/05/1995,461325,,50
1995-0243,Riverine flood,Flood,16/10/1995,,BGD,"Dinajpur, Panchagar, Rangpur, Nilpamari, Joipurhat, Gaibanda, Natore, Naogaon, Bogra districts",29/09/1995,1250000,175000,400
1995-0281,Tropical cyclone,Storm,25/11/1995,,BGD,Gulf of Bengale,25/11/1995,250000,,172
1995-0487,Riverine flood,Flood,24/05/1995,,BGD,"Chittagong, Khulna, Dhaka, Barisal",17/05/1995,351000,300,41
1996-0013,Cold wave,Extreme temperature ,/01/1996,,BGD,"Gaibandha, Dinajpur, Rangpur, Nilphamari ",/01/1996,,,200
1996-0086,Tropical cyclone,Storm,14/05/1996,,BGD,"Gopalpur, Basail, Kalihati, Shokipur, Mirzapur, Ghatail (Tangail district), Thanas of Madarganj, Bakhiganj, Sarishabari (Jamalpur district)",12/05/1996,118291,,525
1996-0104,Riverine flood,Flood,02/08/1996,,BGD,"Kurigram, Gaibandha, Bogra, Sirajganj, Tangail, Pabna, Manikanj, Munshiganj, Dhaka, Dhaka city, Narayangani, Shariatpur, Madaripur, Gopalganj, Rajbari, Faridpur, Lalmonirat, Nilhamari",19/07/1996,5663319,10000,33
1996-0170,--,Storm,27/07/1996,,BGD,Bay Of Bengal,27/07/1996,,,60
1996-0196,Riverine flood,Flood,07/09/1996,,BGD,"Rajshai, Padma",26/08/1996,165000,,22
1996-0350,--,Storm,23/04/1996,,BGD,Gowriganga River,23/04/1996,300,,17
1996-0351,Tropical cyclone,Storm,29/10/1996,,BGD,"Chittagong, Patuakhali, Pirojpur",29/10/1996,100,,24
1997-0114,Tropical cyclone,Storm,18/05/1997,,BGD,"Banshkali, Anowara (Chittagong district), Cox\'s Bazar, Teknaf, Chokoria, Moheshkali, Kutubdia (Cox\'s Bazar district)",18/05/1997,3052738,,111
1997-0164,Flash flood,Flood,13/07/1997,,BGD,"North, Central North",13/07/1997,900030,229000,79
1997-0235,Tropical cyclone,Storm,27/09/1997,,BGD,"Bhola, Noakhali, Bagerhat, Khulna, Potuakhali, Sitakundu districts",26/09/1997,750063,,188
1997-0258,Convective storm,Storm,12/10/1997,,BGD,Tongi Dis. -  1st level = Dhaka,12/10/1997,500,,15
1997-0281,Ground movement,Earthquake,22/11/1997,,BGD,Chittagong,22/11/1997,200,,23
1997-0316,Cold wave,Extreme temperature ,21/01/1997,,BGD,Dinajpur (level 2) Level 1 = Rajshahi,21/01/1997,,,33
1997-0321,--,Storm,23/03/1997,,BGD,Bay Of Bengal  Level 1 = Chittagong,23/03/1997,101,,11
1997-0353,--,Storm,27/08/1997,,BGD,Cox\'s Bazar (level 2) Level 1 = Chittagong,27/08/1997,,,100
1998-0002,Cold wave,Extreme temperature ,09/01/1998,,BGD,"Jessore, Rajshahi, Khulna",09/01/1998,34000,,120
1998-0101,--,Storm,23/04/1998,,BGD,Chittagong,23/04/1998,200,,14
1998-0164,Tropical cyclone,Storm,20/05/1998,,BGD,"Chittagong, Cox\'s Bazar, Sitakundu",20/05/1998,108944,,19
1998-0203,Riverine flood,Flood,22/09/1998,,BGD,"Mymensingh, Jamalpur, Sherpur, Hobiganj, Rangpur, Sirajangj, Manikganj, Pabna, Rajbari, Rajshahi, Kurigram, Faridpur, Nilphamari, Gaibandha, Lalmonirhat, Khagrachari, Chitagong, Feni, Comilla, Cox\'s Bazar, Tangail, Natore districts",05/07/1998,15000050,4300000,1050
1998-0373,Tropical cyclone,Storm,25/11/1998,,BGD,"Sathkhira, Khulna district",25/11/1998,121000,,200
1998-0438,--,Storm,23/03/1998,,BGD,N.A. on the source,23/03/1998,100,,28
1998-0447,--,Storm,03/07/1998,,BGD,Barisal,03/07/1998,,,60
1999-0105,--,Storm,08/04/1999,,BGD,Parbatipur,07/04/1999,200,,7
1999-0115,Convective storm,Storm,26/03/1999,,BGD,"Panchagarh district, Level 1 = Rajshahi Div",26/03/1999,100060,,2
1999-0189,Convective storm,Storm,30/04/1999,,BGD,Kurigram (Rangpur),30/04/1999,1150,,3
1999-0225,Riverine flood,Flood,03/08/1999,,BGD,"Comilla, Lalmonirhat, Habiganj Jamalpur, Munshiganj, Manikganj, Kustia, Rajshahi, Bogra, Kurigram, Gaibandha, Nilphamari, Lalmonirhat, Sunamganj and Chittagong",11/07/1999,441270,,31
1999-0228,Ground movement,Earthquake,22/07/1999,,BGD,Maheshkhali Isl. Level 1 = Chittagong Div,22/07/1999,15200,,6
1999-0277,Riverine flood,Flood,15/08/1999,,BGD,"Chittagong port city, Aziznagar, Chittagong Hill Tracts, Island of Maheshkhali (Cox\'s Bazar, Chittagong and Bandarban districts)",11/08/1999,50050,,17
1999-0532,Tropical cyclone,Storm,25/10/1999,,BGD,"Satkhira, Khulna, Bagerhat, Pirojpur, Borguna districts",25/10/1999,,,
1999-0576,--,Storm,10/04/1999,,BGD,"Bhola, Barisal & Patuakhil districts, Level 1 = Barisal Div",10/04/1999,100,,66
1999-0730,--,Flood,20/07/1999,,BGD,,30/06/1999,,,82
1999-0734,--,Flood,05/08/1999,,BGD,Jamuna ,28/07/1999,4000,,
1999-0736,--,Flood,11/04/1999,,BGD,"Bhola, Barisal, Patuakhil",10/04/1999,100,,66
1999-0738,--,Storm,05/07/1999,,BGD,Bengal Gulf,01/07/1999,,,50
2000-0003,Cold wave,Extreme temperature ,/01/2000,,BGD,,/01/2000,,,49
2000-0023,Ground movement,Earthquake,02/01/2000,,BGD,"Cox\'s Bazar, Maheshkhali",02/01/2000,1000,,
2000-0146,Convective storm,Storm,05/03/2000,,BGD,Natore district (North-Western),05/03/2000,3050,,
2000-0211,Tropical cyclone,Storm,21/04/2000,,BGD,"Alpara, Netrokona Sadar, Kendua, Purbadhala counties (Netrokona district) and Rangpur district",21/04/2000,62800,,20
2000-0229,Tropical cyclone,Storm,11/04/2000,,BGD,Moulvibazar and Netrokona,11/04/2000,7012,,
2000-0283,--,Storm,19/06/2000,,BGD,"Dhaka, Chittagong, Cox\'s Bazar, Comilla, Mymenshingh, Tangail, Chandpur, Kishoreganj districts",27/05/2000,71000,,36
2000-0294,--,Storm,23/05/2000,,BGD,Chittagong,23/05/2000,,,28
2000-0373,Flash flood,Flood,24/06/2000,,BGD,"Chittagong, Cowkbazar, Morzapool, Katalganj, Rahmatganj, Chaktai, Halishabr, Bakalia, Chandgaon, Pahartoli, Hathazari, Patiya, Satkania, Keranirhat areas",24/06/2000,200050,,11
2000-0555,Coastal flood,Flood,30/08/2000,,BGD,"Hutiya, Urirchar, Maheskhali, Sandwip Isl.",30/08/2000,12010,,1
2000-0617,Flash flood,Flood,/10/2000,,BGD,"Gangni, Meherpur Sadar (Meherpur), Daulatpur, Kushtia Sadar, Bheramara (Kushtia), Jibannagar, Alamdanga, Cuadanda Sadar, Damurhuda (Chuadanga), Maheshpur, Kotchandpur (Jhenaidah), Paba, Godagari, Tanor, Mohanpur (Rajshahi)  ",/09/2000,2467138,500000,31
2000-0631,Convective storm,Storm,25/06/2000,,BGD,"Ullapara, Gournadi districts",25/06/2000,2537,,
2000-0713,Tropical cyclone,Storm,28/10/2000,,BGD,"Barisal, Barguna, Jhalkahti, Bhola, Khulna, Pirojpur, Noakhali, Luxmipur, Cox\'s Bazar, Dhaka, Mymensingh, Chandpur, Shariatpur districts (coastal and central)",28/10/2000,200,,15
2001-0198,Tropical cyclone,Storm,11/05/2001,,BGD,"Mymenshing, Netrokona, Tangail, Naogaon, Moulovi Bazar, Chuadanga, Jhinaidah, Gaibandha, Patuakhali, Meherpur Gopalgonj, Noakhali districts",11/05/2001,200,,12
2001-0202,Tropical cyclone,Storm,01/04/2001,,BGD,"Patuakhali district, Satkhira district, Kuakata coast",01/04/2001,2500,,193
2001-0273,--,Storm,28/04/2001,,BGD,"Sirajgang, Pabna, Sylhet",28/04/2001,600,,21
2001-0393,Riverine flood,Flood,05/06/2001,,BGD,"Sylhet, Hobigonj, Sunamgonj, Muolovibazar, Nilphamari, Brahamanbaria districts",05/06/2001,500000,,9
2001-0459,--,Flood,31/08/2001,,BGD,"Sunamgonj, Sylhet, Chapai-Nawabgonj, Rajshati, Kusthia districts",31/08/2001,200000,,
2001-0563,Convective storm,Storm,05/10/2001,,BGD,"Lalmonirhat, Nilphamari, Gaibandha, Rangpur districts",05/10/2001,25450,,12
2001-0734,Cold wave,Extreme temperature ,/12/2001,,BGD,"Panchagarth, Thakurgaon, Dinajpur, Satkhira, Sylhet, Sunamjgonj, Nilpamari, Jessore districts",/12/2001,2000,,6
2002-0211,--,Storm,25/03/2002,,BGD,Cox\'s Bazar,25/03/2002,1000,,32
2002-0233,Tropical cyclone,Storm,22/04/2002,,BGD,"Gaibandha, Lalmonirat, Bogra, Nilphamari, Netrokona, Rangpur, Kishorgonj, Kurigram, Sirajgong districts",22/04/2002,100400,,31
2002-0402,Flash flood,Flood,/08/2002,,BGD,"Mymensingh, Sunamganj, Netrokona, Rangpur, Noakhali, Nilphamari, Kurigram, Ghaibanda, Sherpur, Jessore, Satkhira, Rajshahi, Barguna, Laximpur, Bhola, Barisal, Patuakhali, Cox Bazar districts",/07/2002,1500000,,10
2002-0425,--,Storm,14/07/2002,,BGD,Rajshahi district,14/07/2002,,,10
2002-0705,Tropical cyclone,Storm,14/11/2002,,BGD,,14/11/2002,,,49
2002-0819,Cold wave,Extreme temperature ,/01/2003,,BGD,"North, North-Western districts",15/12/2002,50000,,700
2003-0190,--,Storm,16/04/2003,,BGD,Dacca,16/04/2003,20,,9
2003-0211,Tropical cyclone,Storm,04/05/2003,,BGD,"Brahmmanbaria, Nayabadi district",04/05/2003,400,,23
2003-0250,Heat wave,Extreme temperature ,12/06/2003,,BGD,"West, Center",10/05/2003,,,62
2003-0283,Riverine flood,Flood,10/10/2003,,BGD,,11/06/2003,50000,,187
2003-0303,Flash flood,Flood,03/07/2003,,BGD,"Khagrachari, Chittagong, Bhola, Feni, Sylhet, Sunamganj, Moulvi bazar, Habiganj, Netrakona, Cox\'s Bazar, Jamalpur, Lakshimpur, Comilla",19/06/2003,500000,,65
2003-0452,Ground movement,Earthquake,27/07/2003,,BGD,Chittagong-Cox\'s Bazar-Rangamati area ,27/07/2003,2525,,2
2003-0636,Cold wave,Extreme temperature ,/01/2004,,BGD,,15/12/2003,200,,153
2003-0779,Tropical cyclone,Storm,20/12/2003,,BGD,Barguna (Bay of Bengal),20/12/2003,,,28
2004-0166,Convective storm,Storm,15/04/2004,,BGD,"Mymensingh, Netrokona districts",14/04/2004,13000,,76
2004-0286,--,Storm,13/06/2004,,BGD," Cox\'s Bazar, Tekhnaf (Bay of Bengal)",12/06/2004,50,,153
2004-0298,Riverine flood,Flood,03/08/2004,,BGD,"Sylhet, Sunamganj, Moulvibazar, Branhmanbaria, Comilla , Dhaka, Munshiganj, Narayanganj, Chandpur, Netrokona, Habiganj, Kurigram, Rangpur, Gaibandha, Bogra, Naogaon, Pabna, Jamalpur, Mymensingh, Serajganj, Manikganj, Tangail, Madaripur, Rajbari, Shariatpur, Gopalganj, Marshingdhi, Kishoreganj",20/06/2004,36000000,2200000,730
2004-0470,Riverine flood,Flood,18/09/2004,,BGD,"Devidwar, Burichang, Chandina, Chouddogram, Muradnager Upzalisas (Comilal district)",11/09/2004,600000,,20
2004-0509,Flash flood,Flood,18/10/2004,,BGD,"Dacca, Faridpur, Lakshmipur, Bogra, Gopalgonj Rajshahi, Naogaon, Jaipurhat, Gaibandha, Kurigram, Sirajgan",07/10/2004,271700,,11
2004-0659,Tsunami,Earthquake,26/12/2004,,BGD,"Barisal,Chittagong,Khulna",26/12/2004,,500000,2
2004-0678,Convective storm,Storm,13/05/2004,,BGD,Sylhet,13/05/2004,4050,,10
2004-0679,--,Storm,17/07/2004,,BGD,Sunamganj,17/07/2004,1100,,
2005-0130,Convective storm,Storm,23/03/2005,,BGD,"Gaibandha, Rangpur districts, Chandpur, Habiganj, Faridpur, Kishoreganj, Manikganj, Munshiganj",20/03/2005,11500,,79
2005-0190,Tropical cyclone,Storm,31/03/2005,,BGD,"Natore, Manikganj, Sirajganj, Pabna districts",31/03/2005,10500,,24
2005-0259,--,Storm,22/05/2005,,BGD,"Lakshmipur, Rajbari, Cox\'s Bazar districts",21/05/2005,6,,10
2005-0261,Flash flood,Flood,28/05/2005,,BGD,"Maulvibazar, Habiganj districts (Northeastern Bangladesh)",25/05/2005,50000,,13
2005-0273,--,Storm,14/05/2005,,BGD,Pabna district,14/05/2005,100,,2
2005-0282,--,Storm,06/05/2005,,BGD,"Rangpur, Dinadjpur districts",06/05/2005,1500,,11
2005-0323,Heat wave,Extreme temperature ,/07/2005,,BGD,,/07/2005,,,
2005-0375,Riverine flood,Flood,27/07/2005,,BGD,"Kurigram, Gaibandha, Lalmonirhat, Rangpur, Nilphamari, Sherpur. Sirajgangi, Sirajganj, Jamalpur, Bogra, Dhaka, Narayanganj, Munshiganj and Madaripur.",07/07/2005,1000000,,23
2005-0391,--,Storm,30/06/2005,,BGD,Cox\'s Bazar,30/06/2005,,,35
2005-0537,--,Storm,20/09/2005,,BGD,,20/09/2005,12000,,16
2005-0590,Flash flood,Flood,20/10/2005,,BGD," Naogaon, Joypurhat, Gaibandha, Rangpur, Nilphamari, Dinajpur (North districts)",03/10/2005,100000,,19
2005-0701,Severe winter conditions,Extreme temperature ,/01/2006,,BGD,"Chittagong, Rajshahi, Jessore, Thakurgaon, Kurigram,Pabna districts",/12/2005,1000,,100
2006-0146,Convective storm,Storm,04/03/2006,,BGD,"Bagerhat, Khulna districts, Sharankhola upazila",04/03/2006,5899,,4
2006-0262,Riverine flood,Flood,24/07/2006,,BGD,"Sylhet, Zakiganj, Kanaighat, Sunamganj, Moulvibazar, Habiganj, Khagrachhari",31/05/2006,76000,,
2006-0502,Riverine flood,Flood,20/09/2006,,BGD,"Jessore, Khulna, Satkhira districts (South-Western)",24/08/2006,135775,,
2006-0510,Tropical cyclone,Storm,05/10/2006,,BGD,"Hatia, Bagerhat, Potuakhali, Borguna (Bay of Bengal)",18/09/2006,9135,,115
2006-0737,Tropical cyclone,Storm,06/04/2006,,BGD,Dhaka,05/04/2006,1465,,9
2006-0738,Tropical cyclone,Storm,08/04/2006,,BGD,"Tangail, Sirajganj, Kazipur",08/04/2006,1500,,22
2006-0739,--,Storm,24/04/2006,,BGD,"Rajshai, Khulna, Jessore",22/04/2006,150,,4
2007-0033,Severe winter conditions,Extreme temperature ,/01/2007,,BGD,"Panchagarh, Thakurgaon, Dinajpur, Nilphamari, Lamonirhat, Gaibandga, Kurigram, Rangpur, Joypurhat, Bogra, Chapainowabganj, Serajganj, Rajshahi, Pabna, Mymensingh, Jamalpur, Kishorganj, Sherpur, Gazipur, Shariatpur, Rajbari, Golpalganj, Jhalokathi, Khulna, Brahmanbaria, Sylhet, Moulavibazar, Sunamganj",/01/2007,100000,,130
2007-0161,Riverine flood,Flood,12/06/2007,,BGD,Chittagong area,11/06/2007,80060,14000,120
2007-0227,Tropical cyclone,Storm,15/05/2007,,BGD,"Bazar de Cox, Chittagong",15/05/2007,225,,41
2007-0311,Riverine flood,Flood,03/08/2007,,BGD,"Bandarban Hill, Feni, Comilla. Sirajganj, Aricha, Goalundo, Bhagyakul, Rangpur region",21/07/2007,13771380,100000,1110
2007-0556,Tropical cyclone,Storm,19/11/2007,,BGD,"Khulna-Barisal coast,  Bagerhat, Patuakhali, Barguna, Pirojpur, Barisal, Jhalkhati, Bhola, Mandaripur, Gopalgonj, Shariatpur, Khulna, Satkhira",15/11/2007,8978541,2300000,4234
2008-0285,Riverine flood,Flood,13/07/2008,,BGD,"Cox\'s Bazar, Chittagong",26/06/2008,20002,,16
2008-0385,Riverine flood,Flood,08/09/2008,,BGD,"Bogra, Sirajganj (North)",30/08/2008,615638,,12
2008-0568,Landslide,Landslide,16/08/2008,,BGD,Chittagong city,16/08/2008,50,,13
2008-0644,Tropical cyclone,Storm,22/03/2008,,BGD,,22/03/2008,200,,12
2008-0648,Tropical cyclone,Storm,27/10/2008,,BGD,"Barisal, Patuakhali",27/10/2008,200,,15
2009-0157,Tropical cyclone,Storm,20/04/2009,,BGD,"Banshkhali, Anowara, Sitakundo, Mirershwarai, Sandip, Patia, Boalkhali, Satkania, Chandnaish and city Corportaion of Cittagong district (Chittagong), Sadar, Ramu, Chokoria, Pekua, Moheshkhali, Kutubdia (Cox s Bazar), Burir char of Hatia (Noakhali), Charfashion (Bhola), Pirganj (Thakurgao)",19/04/2009,19209,,7
2009-0204,Tropical cyclone,Storm,26/05/2009,,BGD,"Khulna,  Satkhira, Patuakhali, Bagerhat, Barisal, Barguna, Pirojpur, Jhalokathi, Laxmipur, Jessore, Bhola, Chittagong, Noakhali, Cox\'s Bazar, Feni, Chadpur, Pirojpur",25/05/2009,3935341,270000,190
2009-0294,Riverine flood,Flood,06/07/2009,,BGD,Near Habanganj,03/07/2009,500000,,6
2009-0304,Riverine flood,Flood,29/07/2009,,BGD,"Dhaka, Comilla, Rajshahi, Chittagong, Barisal, Khulna, Sylhet",29/07/2009,,,10
2009-0595,Cold wave,Extreme temperature ,31/01/2010,,BGD,"Rajbari; Jessore; Damurhuda, Sadar, Jiban Nagar (Chuadanga); Tentulia, Debiganj, Atwari (Panchagarh); Baliadangi, Haripur, Ranisenkail (Thagurgaon); Dimla, Jaldhaka (Niphamari); Biral, Fulbari (Dinajupur); Hatibandha, Patgram, Aditmari (Lalmonirhat); Roumari, Chilmari, Ulipur (Kurigram); Gangachara, Pirganj (Rangpur); Dinajpur; Fulchari, Sundarganj, Saghata, Gabindaganj, Sadullapu (Gaibandha); Sadar, Sripur (Magura); Naogaon; Pabna; Bogra; Sirajgonj; Manikgong; Meherpur; Tangail; Satkhira; Khulna; Bagerhat; Sherpur; Chuadanga",15/12/2009,50000,,135
